# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  1.000000e-02  6.758999e-03  8.641482e-02  6.467064e-04  9.627383e-04
  1.000000e-02  6.807977e-03  8.584265e-02  6.413026e-04  9.552315e-04
  1.000000e-02  6.856955e-03  8.527178e-02  6.359167e-04  9.477169e-04
  1.000000e-02  6.905934e-03  8.470187e-02  6.304521e-04  9.401885e-04
  1.000000e-02  6.954912e-03  8.413283e-02  6.249223e-04  9.326471e-04
  1.000000e-02  7.003890e-03  8.356477e-02  6.193758e-04  9.250930e-04
  1.000000e-02  7.052868e-03  8.299768e-02  6.137757e-04  9.175291e-04
  1.000000e-02  7.101847e-03  8.243061e-02  6.082095e-04  9.099419e-04
  1.000000e-02  7.150825e-03  8.186435e-02  6.025362e-04  9.023445e-04
  1.000000e-02  7.199803e-03  8.129820e-02  5.968344e-04  8.947264e-04
  1.000000e-02  7.248781e-03  8.073256e-02  5.910476e-04  8.870970e-04
  1.000000e-02  7.297760e-03  8.016710e-02  5.851975e-04  8.794497e-04
  1.000000e-02  7.346738e-03  7.960153e-02  5.793890e-04  8.717859e-04
  1.000000e-02  7.395716e-03  7.903597e-02  5.735228e-04  8.641063e-04
  1.000000e-02  7.444694e-03  7.846996e-02  5.675779e-04  8.564040e-04
  1.000000e-02  7.493673e-03  7.790348e-02  5.615907e-04  8.486827e-04
  1.000000e-02  7.542651e-03  7.733647e-02  5.556817e-04  8.409403e-04
  1.000000e-02  7.591629e-03  7.676881e-02  5.495316e-04  8.331778e-04
  1.000000e-02  7.640607e-03  7.620028e-02  5.435474e-04  8.253948e-04
  1.000000e-02  7.689586e-03  7.563050e-02  5.374469e-04  8.175866e-04
  1.000000e-02  7.738564e-03  7.505954e-02  5.312891e-04  8.097550e-04
  1.000000e-02  7.787542e-03  7.448760e-02  5.250727e-04  8.019022e-04
  1.000000e-02  7.836520e-03  7.391355e-02  5.188473e-04  7.940182e-04
  1.000000e-02  7.885499e-03  7.333807e-02  5.125743e-04  7.861149e-04
  1.000000e-02  7.934477e-03  7.275990e-02  5.063072e-04  7.781683e-04
  1.000000e-02  7.983455e-03  7.218007e-02  4.999596e-04  7.702045e-04
  1.000000e-02  8.032433e-03  7.159755e-02  4.934883e-04  7.622047e-04
